id,ATP,Location,Tournament,Date,season,portion,Winner,Loser,Wsets,Lsets,B365W,B365L,PSW,PSL,LBW,LBL,SJW,SJL
61,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Johansson T.,Berrer M.,2,0,1.44,2.62,1.45,3.02,3.05,1.5,
62,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Kohlschreiber P.,Volandri F.,2,0,1.19,4.33,1.25,4.6,4.1,1.286,
63,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Ljubicic I.,Tipsarevic J.,,,1.3,3.4,1.323,3.8,3.62,1.3,
64,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Tursunov D.,Kiefer N.,,,2,1.72,2.45,1.645,1.72,2,
65,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Wawrinka S.,Rochus C.,2,0,1.16,4.5,1.249,4.62,4,1.25,
66,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Murray A.,Schuettler R.,2,1,1.07,7.5,1.082,11.25,6.75,1.1,
67,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Calleri A.,Lee H.T.,2,0,1.66,2.1,1.746,2.24,2.15,1.667,
68,3,Doha,Qatar Exxon Mobil Open,02/01/2008,2008,1,Davydenko N.,Santoro F.,2,0,1.14,5,1.167,6.4,5.4,1.2,
69,3,Doha,Qatar Exxon Mobil Open,03/01/2008,2008,2,Ljubicic I.,Kohlschreiber P.,2,1,1.5,2.5,1.488,2.85,2.38,1.5,
70,3,Doha,Qatar Exxon Mobil Open,03/01/2008,2008,2,Murray A.,Johansson T.,2,0,1.16,4.5,1.239,4.79,3.9,1.25,
71,3,Doha,Qatar Exxon Mobil Open,03/01/2008,2008,2,Wawrinka S.,Calleri A.,2,0,1.61,2.2,1.649,2.44,2.14,1.667,
72,3,Doha,Qatar Exxon Mobil Open,03/01/2008,2008,2,Davydenko N.,Tursunov D.,2,0,1.19,4.33,1.235,4.85,3.62,1.3,
73,3,Doha,Qatar Exxon Mobil Open,04/01/2008,2008,2,Wawrinka S.,Ljubicic I.,2,0,2,1.72,2.11,1.826,1.67,2.1,
74,3,Doha,Qatar Exxon Mobil Open,04/01/2008,2008,2,Murray A.,Davydenko N.,2,0,1.57,2.25,1.69,2.35,2.22,1.615,
75,3,Doha,Qatar Exxon Mobil Open,05/01/2008,2008,2,Murray A.,Wawrinka S.,2,1,1.3,3.5,1.332,3.71,3.8,1.286,
76,4,Auckland,Heineken Open,07/01/2008,2008,1,Melzer J.,Eschauer W.,2,1,1.3,3.39,1.357,3.6,
